Country,Year_Month,New_cases,New_deaths,Cumulative_cases,Cumulative_deaths,Date_reported_x,Country_code_x,WHO_region_x,Date_reported_y,Country_code_y,WHO_region_y,Date_reported,Country_code,WHO_region,Health_Coverage_Index,Median_Age,Urban_Population_Share,Region,Temperature (°C),Relative Humidity (%),Ozone Concentration (ppb),Cases per Million
South Africa,2021-02,62989.0,5990.0,1512225,49941,2021-02-01,ZA,,2021-02-01,ZA,,2021-02-01,ZA,,62.857142857142854,20.587675675675676,33.577046726372416,Sub-Saharan Africa,30.756698067306587,57.37372235632,50.35646007001074,62989.0
South Africa,2021-03,32241.0,2707.0,1544466,52648,2021-03-01,ZA,,2021-03-01,ZA,,2021-03-01,ZA,,62.857142857142854,20.587675675675676,33.577046726372416,Sub-Saharan Africa,27.38454797983721,49.98208055256,48.783082183300195,32241.0
South Africa,2021-04,29904.0,1477.0,1574370,54125,2021-04-01,ZA,,2021-04-01,ZA,,2021-04-01,ZA,,62.857142857142854,20.587675675675676,33.577046726372416,Sub-Saharan Africa,31.335280776869325,60.10549528392,48.52359609902824,29904.0
South Africa,2021-05,84700.0,2238.0,1659070,56363,2021-05-01,ZA,,2021-05-01,ZA,,2021-05-01,ZA,,62.857142857142854,20.587675675675676,33.577046726372416,Sub-Saharan Africa,38.824595385972884,84.29114667044,49.32952154335983,84700.0
South Africa,2021-06,254791.0,3415.0,1913861,59778,2021-06-01,ZA,,2021-06-01,ZA,,2021-06-01,ZA,,62.857142857142854,20.587675675675676,33.577046726372416,Sub-Saharan Africa,30.56335892914035,69.66739787002,47.48930803814685,254791.0
South Africa,2021-07,454244.0,9710.0,2368105,69488,2021-07-01,ZA,,2021-07-01,ZA,,2021-07-01,ZA,,62.857142857142854,20.587675675675676,33.577046726372416,Sub-Saharan Africa,34.03967505200242,70.14347693192,47.953517595601895,454244.0
South Africa,2021-08,389086.0,11973.0,2757191,81461,2021-08-01,ZA,,2021-08-01,ZA,,2021-08-01,ZA,,62.857142857142854,20.587675675675676,33.577046726372416,Sub-Saharan Africa,40.5548503505986,91.55419213288,50.37590480872197,389086.0
South Africa,2021-09,138785.0,5540.0,2895976,87001,2021-09-01,ZA,,2021-09-01,ZA,,2021-09-01,ZA,,62.857142857142854,20.587675675675676,33.577046726372416,Sub-Saharan Africa,28.27584847885376,58.04254624846,47.99140746739361,138785.0
South Africa,2021-10,25910.0,2162.0,2921886,89163,2021-10-01,ZA,,2021-10-01,ZA,,2021-10-01,ZA,,62.857142857142854,20.587675675675676,33.577046726372416,Sub-Saharan Africa,23.392264111385828,44.58755268368,47.371157645540976,25910.0
South Africa,2021-11,36662.0,628.0,2958548,89791,2021-11-01,ZA,,2021-11-01,ZA,,2021-11-01,ZA,,62.857142857142854,20.587675675675676,33.577046726372416,Sub-Saharan Africa,22.603846177987066,44.28766909204,47.14785588323276,36662.0
South Africa,2021-12,449389.0,982.0,3407937,90773,2021-12-01,ZA,,2021-12-01,ZA,,2021-12-01,ZA,,62.857142857142854,20.587675675675676,33.577046726372416,Sub-Saharan Africa,21.825517352309305,43.14791261032,47.08301084609147,449389.0
South Africa,2022-01,193693.0,4132.0,3601630,94905,2022-01-01,ZA,,2022-01-01,ZA,,2022-01-01,ZA,,62.857142857142854,20.587675675675676,33.577046726372416,Sub-Saharan Africa,28.47770295920938,54.42961087464,49.61961947770786,193693.0
South Africa,2022-02,70361.0,4286.0,3671991,99191,2022-02-01,ZA,,2022-02-01,ZA,,2022-02-01,ZA,,62.857142857142854,20.587675675675676,33.577046726372416,Sub-Saharan Africa,33.852519150321285,63.10322969252,51.20440672819,70361.0
South Africa,2022-03,40272.0,774.0,3712263,99965,2022-03-01,ZA,,2022-03-01,ZA,,2022-03-01,ZA,,62.857142857142854,20.587675675675676,33.577046726372416,Sub-Saharan Africa,32.46578957848513,59.247782186100004,50.09650885337748,40272.0
South Africa,2022-04,47426.0,333.0,3759689,100298,2022-04-01,ZA,,2022-04-01,ZA,,2022-04-01,ZA,,62.857142857142854,20.587675675675676,33.577046726372416,Sub-Saharan Africa,31.626737355622225,58.28220097664,48.66874756173993,47426.0
South Africa,2022-05,192504.0,844.0,3952193,101142,2022-05-01,ZA,,2022-05-01,ZA,,2022-05-01,ZA,,62.857142857142854,20.587675675675676,33.577046726372416,Sub-Saharan Africa,36.076853524426724,74.55184331644,48.70836343086461,192504.0
South Africa,2022-06,40256.0,589.0,3992449,101731,2022-06-01,ZA,,2022-06-01,ZA,,2022-06-01,ZA,,62.857142857142854,20.587675675675676,33.577046726372416,Sub-Saharan Africa,21.257532917861397,48.6090289218,44.71788563440558,40256.0
South Africa,2022-07,12675.0,251.0,4005124,101982,2022-07-01,ZA,,2022-07-01,ZA,,2022-07-01,ZA,,62.857142857142854,20.587675675675676,33.577046726372416,Sub-Saharan Africa,19.938715598825496,43.32413850544,44.148371254205955,12675.0
South Africa,2022-08,6086.0,102.0,4011210,102084,2022-08-01,ZA,,2022-08-01,ZA,,2022-08-01,ZA,,62.857142857142854,20.587675675675676,33.577046726372416,Sub-Saharan Africa,28.596960135385388,56.37411889976,46.89767833747659,6086.0
South Africa,2022-09,5953.0,85.0,4017163,102169,2022-09-01,ZA,,2022-09-01,ZA,,2022-09-01,ZA,,62.857142857142854,20.587675675675676,33.577046726372416,Sub-Saharan Africa,28.07805813908871,56.48447320786,47.63530176175575,5953.0
South Africa,2022-10,10581.0,142.0,4027744,102311,2022-10-01,ZA,,2022-10-01,ZA,,2022-10-01,ZA,,62.857142857142854,20.587675675675676,33.577046726372416,Sub-Saharan Africa,28.240244727889916,54.51321414584,48.33598172625948,10581.0
South Africa,2022-11,13195.0,117.0,4040939,102428,2022-11-01,ZA,,2022-11-01,ZA,,2022-11-01,ZA,,62.857142857142854,20.587675675675676,33.577046726372416,Sub-Saharan Africa,22.311558121485007,44.89645639176,47.008784682866704,13195.0
